icaoCode,Airport name,Country
dtnh,Enfidha - Hammamet International Airport,Tunisia
eddk,Cologne Bonn Airport,Germany
egaa,Belfast International Airport,Northern Ireland
egff,Cardiff International Airport,Wales
egkk,London Gatwick Airport,London
egnj,Humberside Airport,Kingston upon Hull
egnt,Newcastle Airport,Newcastle
egpf,Glasgow International Airport,Scotland
egph,Edinburgh Airport,Scotland
eham,Amsterdam Airport Schiphol,the Netherlands
eidw,Dublin Airport,Ireland
eikn,Ireland West Airport Knock,Ireland
evra,Riga International Airport,Latvia
gcfv,Fuerteventura Airport ,Canary Islands
gclp,Gran Canaria Airport,Canary Islands
gcrr,Lanzarote Airport ,Canary Islands
gcts,Tenerife South Airport ,Canary Islands
gmmx,Marrakech-Menara Airport,Morocco
gvac,Am�lcar Cabral International Airport,Cape Verde
hegn,Hurghada Airport ,Egypt
hesh,Sharm el-Sheikh International Airport ,Egypt
kmlb,Melbourne Orlando International Airport ,USA
lbbg,Burgas Airport ,Bulgaria
lclk,Larnaca International Airport,Cyprus
lcph,Paphos International Airport ,Cyprus
lddu,Dubrovnik Airport ,Croatia
leal,Alicante International Airport,Spain
lebl,Josep Tarradellas Barcelona-El Prat Airport ,Spain
lege,Girona�Costa Brava Airport,Spain
leib,Ibiza Airport,Spain
lemd,Adolfo Su�rez Madrid-Barajas Airport ,Spain
lemg,M�laga-Costa del Sol Airport ,Spain
lemh,Menorca Airport ,Spain
lepa,Palma de Mallorca Airport ,Spain
lfbh,La Rochelle � �le de R� Airport ,France
lfmn,Nice C�te d'Azur Airport ,France
lfpb,Paris�Le Bourget Airport ,France
lfpg,Charles de Gaulle Airport,France
lfrs,Nantes Atlantique Airport ,
lgav,"Athens International Airport, ""Eleftherios Venizelos""",Greece
lgir,"Heraklion International Airport, ""Nikos Kazantzakis"" ",Greece
lgkf,"Kefalonia International Airport, ""Anna Pollatou"" ",Greece
lgko,"Kos Island International Airport, ""Ippokratis"" ",Greece
lgkr,"Corfu International Airport, ""Ioannis Kapodistrias "" ",Greece
lgmk,"Mykonos Island National Airport, ""Dilos"" ",Greece
lgrp,"Rhodes International Airport, ""Diagoras"" ",Greece
lgsa,"Chania International Airport, ""Ioannis Daskalogiannis""",Greece
lgsk,"Skiathos International Airport, ""Alexandros Papadiamantis"" ",Greece
lime,Orio al Serio International Airport (Milan Bergamo Airport),Italy
lipz,Venice Marco Polo Airport (Marco Polo International Airport),Italy
lirf," Fiumicino International Airport (""Leonardo da Vinci"") ",Italy
lirn,Naples International Airport (Capodichino Ugo Niutta Airport),Italy
lirp,Pisa International Airport,Italy
lkpr,V�clav Havel Airport Prague,Czech Republic
lmml,Malta International Airport ,Malta
lpfr,Faro Airport ,Portugal
lppr,Porto Airport ,Portugal
ltai,Antalya International,Turkey
ltbs,Dalaman Airport ,Turkey
ltfe,Milas�Bodrum Airport,Turkey
