Shoulder hour flights,date,Night hour departures
18,023-05-01,0.0
21,023-05-02,0.0
21,023-05-03,0.0
14,023-05-04,0.0
19,023-05-05,0.0
22,023-05-06,0.0
24,023-05-07,0.0
2,023-05-08,0.0
21,023-05-09,0.0
22,023-05-10,0.0
23,023-05-11,0.0
9,023-05-12,1.0
14,023-05-13,0.0
23,023-05-14,0.0
18,023-05-15,0.0
24,023-05-16,0.0
19,023-05-17,0.0
24,023-05-18,0.0
20,023-05-19,0.0
12,023-05-20,0.0
22,023-05-21,0.0
20,023-05-22,0.0
15,023-05-23,0.0
20,023-05-24,0.0
23,023-05-25,0.0
21,023-05-26,1.0
23,023-05-27,0.0
17,023-05-28,0.0
14,023-05-29,0.0
23,023-05-30,0.0
12,023-05-31,1.0
