flight_id,flight_number,direction,actual_time,origin,destination,aircraft_type,airline,registration
399676c5,,Departure,2025-03-23 11:59:58,BRS,,A319,N/A,G-EZBW
39964f37,U22972,Arrival,2025-03-23 12:00:00,AGA,BRS,A20N,N/A,G-UZHL
39964e48,LS1808,Arrival,2025-03-23 12:00:00,AGP,BRS,B738,N/A,G-DRTJ
39964597,BY6711,Arrival,2025-03-23 12:00:00,AGP,BRS,B38M,N/A,G-TUMU
39966054,VJT517,Arrival,2025-03-23 12:00:00,LCG,BRS,CL60,N/A,9H-VFR
39965bd8,BY6737,Arrival,2025-03-23 12:00:00,TLS,BRS,B738,N/A,G-TUKR
3996440c,U22710,Arrival,2025-03-23 12:00:00,PMI,BRS,A320,N/A,G-EZTY
39963c07,U22704,Arrival,2025-03-23 12:00:00,BCN,BRS,A21N,N/A,G-UZMJ
399649d7,U22962,Arrival,2025-03-23 12:00:00,GVA,BRS,A320,N/A,G-EZUA
39966bf9,U22884,Arrival,2025-03-23 12:00:00,GVA,BRS,A320,N/A,G-EZRY
39963082,FR5342,Arrival,2025-03-23 12:00:00,OTP,BRS,B738,N/A,EI-EBX
3996331a,LS1863,Departure,2025-03-23 12:00:00,BRS,LPA,B738,N/A,G-JZBG
39965247,U2237,Departure,2025-03-23 12:00:00,BRS,NCL,A320,N/A,G-EZTH
399642ea,U22965,Departure,2025-03-23 12:00:00,BRS,INN,A20N,N/A,G-UZHH
3996726e,U22872,Arrival,2025-03-23 12:00:01,FAO,BRS,A20N,N/A,G-UZLV
3996337e,U22714,Arrival,2025-03-23 12:00:01,AGP,BRS,A320,N/A,G-EZRT
39963dfd,U22952,Arrival,2025-03-23 12:00:01,INN,BRS,A20N,N/A,G-UZED
39962079,BY6741,Arrival,2025-03-23 12:00:01,TRN,BRS,B38M,N/A,G-TUMY
39963d83,U22946,Arrival,2025-03-23 12:00:01,KEF,BRS,A20N,N/A,G-UZHF
39963b8a,LS1803,Departure,2025-03-23 12:00:01,BRS,ACE,B738,N/A,G-DRTV
39964640,U22867,Departure,2025-03-23 12:00:01,BRS,LIS,A20N,N/A,G-UZHZ
39962dd4,RK6922,Departure,2025-03-23 12:00:01,BRS,TIA,B738,N/A,EI-EFH
