date,average_delay,max_delay,min_delay,total_flights,flights_with_delays,cancelled_flights,active_flights
023-05-01,30.11627906976744,255,0,137,117,8,129
023-05-02,20.75409836065574,114,0,127,116,5,122
023-05-03,18.797101449275363,59,0,139,132,1,138
023-05-04,19.684615384615384,70,0,130,124,0,130
023-05-05,21.284671532846716,75,0,139,129,2,137
023-05-06,25.277310924369747,330,0,119,106,0,119
023-05-07,17.576923076923077,69,0,135,120,5,130
023-05-08,18.68148148148148,100,0,135,113,0,135
023-05-09,23.098484848484848,230,0,132,123,0,132
023-05-10,18.48854961832061,169,0,132,120,1,131
023-05-11,17.56338028169014,175,0,142,123,0,142
023-05-12,27.816666666666666,125,0,125,120,5,120
023-05-13,28.252032520325205,85,0,123,113,0,123
023-05-14,27.930232558139537,140,0,134,123,5,129
023-05-15,22.567164179104477,193,0,135,123,1,134
023-05-16,18.5,75,0,130,121,0,130
023-05-17,21.067164179104477,118,0,138,129,4,134
023-05-18,21.992753623188406,90,0,138,131,0,138
023-05-19,18.159420289855074,82,0,139,123,1,138
023-05-20,26.565217391304348,300,0,115,108,0,115
023-05-21,23.60144927536232,200,0,139,124,1,138
023-05-22,23.31205673758865,220,0,143,138,2,141
023-05-23,31.64885496183206,1245,0,131,129,0,131
023-05-24,18.555555555555557,73,0,136,122,1,135
023-05-25,23.493150684931507,90,0,146,135,0,146
023-05-26,27.35211267605634,169,0,144,133,2,142
023-05-27,30.25,485,0,128,117,0,128
023-05-28,25.286821705426355,75,0,129,123,0,129
023-05-29,24.1021897810219,195,0,141,118,4,137
023-05-30,27.366906474820144,90,0,143,134,4,139
023-05-31,32.63309352517986,134,0,139,128,0,139
