YearMonth,TimeCategory,Count
2022-12,Night hour arrivals,1
2022-12,Regular arrivals,10
2023-01,Night hour arrivals,5
2023-01,Regular arrivals,1645
2023-01,Shoulder hour flights,105
2023-02,Night hour arrivals,3
2023-02,Regular arrivals,1582
2023-02,Shoulder hour flights,108
2023-03,Night hour arrivals,31
2023-03,Regular arrivals,2585
2023-03,Shoulder hour flights,185
2023-04,Night hour arrivals,149
2023-04,Regular arrivals,5691
2023-04,Shoulder hour flights,501
2023-05,Night hour arrivals,245
2023-05,Regular arrivals,6802
2023-05,Shoulder hour flights,668
2023-06,Night hour arrivals,350
2023-06,Regular arrivals,6804
2023-06,Shoulder hour flights,696
2023-07,Night hour arrivals,352
2023-07,Regular arrivals,7136
2023-07,Shoulder hour flights,741
2023-08,Night hour arrivals,348
2023-08,Regular arrivals,7331
2023-08,Shoulder hour flights,752
2023-09,Night hour arrivals,295
2023-09,Regular arrivals,7277
2023-09,Shoulder hour flights,743
2023-10,Night hour arrivals,244
2023-10,Regular arrivals,7084
2023-10,Shoulder hour flights,638
2023-11,Night hour arrivals,45
2023-11,Regular arrivals,4705
2023-11,Shoulder hour flights,317
2023-12,Night hour arrivals,21
2023-12,Regular arrivals,2651
2023-12,Shoulder hour flights,182
